name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-20-2023 02:47:44
Fan2,31h,ok,7.1,3240,RPM,10-20-2023 02:47:44
Fan3,32h,ok,7.1,3240,RPM,10-20-2023 02:47:44
Fan4,33h,ok,7.1,3240,RPM,10-20-2023 02:47:44
Fan5,34h,ok,7.1,3720,RPM,10-20-2023 02:47:44
Fan6,35h,ok,7.1,3720,RPM,10-20-2023 02:47:44
InletTemp,04h,ok,7.1,21,degreesC,10-20-2023 02:47:44
ExhaustTemp,01h,ok,7.1,26,degreesC,10-20-2023 02:47:44
Temp,0Eh,ok,3.1,36,degreesC,10-20-2023 02:47:44
Temp,0Fh,ok,3.2,36,degreesC,10-20-2023 02:47:44
Current1,6Ah,ok,10.1,"0,40",Amps,10-20-2023 02:47:44
Voltage1,6Ch,ok,10.1,242,Volts,10-20-2023 02:47:44
PwrConsumption,77h,ok,7.1,98,Watts,10-20-2023 02:47:44
