name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-18-2023 09:36:41
Fan2,31h,ok,7.1,3240,RPM,10-18-2023 09:36:41
Fan3,32h,ok,7.1,3240,RPM,10-18-2023 09:36:41
Fan4,33h,ok,7.1,3240,RPM,10-18-2023 09:36:41
Fan5,34h,ok,7.1,3480,RPM,10-18-2023 09:36:41
Fan6,35h,ok,7.1,3480,RPM,10-18-2023 09:36:41
InletTemp,04h,ok,7.1,20,degreesC,10-18-2023 09:36:41
ExhaustTemp,01h,ok,7.1,26,degreesC,10-18-2023 09:36:41
Temp,0Eh,ok,3.1,37,degreesC,10-18-2023 09:36:41
Temp,0Fh,ok,3.2,37,degreesC,10-18-2023 09:36:41
Current1,6Ah,ok,10.1,"0,40",Amps,10-18-2023 09:36:41
Voltage1,6Ch,ok,10.1,240,Volts,10-18-2023 09:36:41
PwrConsumption,77h,ok,7.1,98,Watts,10-18-2023 09:36:41
