name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-19-2023 05:22:02
Fan2,31h,ok,7.1,3240,RPM,10-19-2023 05:22:02
Fan3,32h,ok,7.1,3240,RPM,10-19-2023 05:22:02
Fan4,33h,ok,7.1,3240,RPM,10-19-2023 05:22:02
Fan5,34h,ok,7.1,3720,RPM,10-19-2023 05:22:02
Fan6,35h,ok,7.1,3720,RPM,10-19-2023 05:22:02
InletTemp,04h,ok,7.1,21,degreesC,10-19-2023 05:22:02
ExhaustTemp,01h,ok,7.1,27,degreesC,10-19-2023 05:22:02
Temp,0Eh,ok,3.1,36,degreesC,10-19-2023 05:22:02
Temp,0Fh,ok,3.2,35,degreesC,10-19-2023 05:22:02
Current1,6Ah,ok,10.1,"0,40",Amps,10-19-2023 05:22:02
Voltage1,6Ch,ok,10.1,240,Volts,10-19-2023 05:22:02
PwrConsumption,77h,ok,7.1,98,Watts,10-19-2023 05:22:02
