name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-18-2023 03:14:56
Fan2,31h,ok,7.1,3240,RPM,10-18-2023 03:14:56
Fan3,32h,ok,7.1,3240,RPM,10-18-2023 03:14:56
Fan4,33h,ok,7.1,3240,RPM,10-18-2023 03:14:56
Fan5,34h,ok,7.1,3720,RPM,10-18-2023 03:14:56
Fan6,35h,ok,7.1,3720,RPM,10-18-2023 03:14:56
InletTemp,04h,ok,7.1,21,degreesC,10-18-2023 03:14:56
ExhaustTemp,01h,ok,7.1,26,degreesC,10-18-2023 03:14:56
Temp,0Eh,ok,3.1,36,degreesC,10-18-2023 03:14:56
Temp,0Fh,ok,3.2,37,degreesC,10-18-2023 03:14:56
Current1,6Ah,ok,10.1,"0,40",Amps,10-18-2023 03:14:56
Voltage1,6Ch,ok,10.1,240,Volts,10-18-2023 03:14:56
PwrConsumption,77h,ok,7.1,112,Watts,10-18-2023 03:14:56
