name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-20-2023 13:00:23
Fan2,31h,ok,7.1,3240,RPM,10-20-2023 13:00:23
Fan3,32h,ok,7.1,3240,RPM,10-20-2023 13:00:23
Fan4,33h,ok,7.1,3240,RPM,10-20-2023 13:00:23
Fan5,34h,ok,7.1,3480,RPM,10-20-2023 13:00:23
Fan6,35h,ok,7.1,3480,RPM,10-20-2023 13:00:23
InletTemp,04h,ok,7.1,20,degreesC,10-20-2023 13:00:23
ExhaustTemp,01h,ok,7.1,26,degreesC,10-20-2023 13:00:23
Temp,0Eh,ok,3.1,36,degreesC,10-20-2023 13:00:23
Temp,0Fh,ok,3.2,36,degreesC,10-20-2023 13:00:23
Current1,6Ah,ok,10.1,"0,40",Amps,10-20-2023 13:00:23
Voltage1,6Ch,ok,10.1,240,Volts,10-20-2023 13:00:23
PwrConsumption,77h,ok,7.1,112,Watts,10-20-2023 13:00:23
